feature_name,canonical_column_name,legacy_aliases,registry_record_type,replacement_feature_name,feature_granularity,page_aggregation_rule,feature_layer,feature_group,primitive_or_composite,definition,formula,source_provenance,required_input,transformation,language_dependency,extraction_requirement,missing_value_meaning,topic_specificity,generalizability,leakage_status,expected_confounders,measurement_risks,recommended_model_role,feature_status,current_implementation_status,taxonomy_or_rule_version,qa_status,approved_for_model_v1,minimum_qa_gate,model_entry_blocker,validation_requirement,notes,registry_version
prompt_title_similarity,prompt_title_similarity,,canonical,,not_table_related,not_applicable,core_general,prompt_page_relevance,derived_primitive,Leakage-safe prompt-title similarity.,"predeclared similarity(prompt, page title)",prompt_and_metadata,prompt text and page title,bounded_similarity,high,multilingual tokenizer or embedding,Missing means title or prompt was unavailable.,general,high,safe_no_answer,selection into surfaced sample,Language/model choice changes scores.,G2R_sensitivity,sensitivity_only,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Version similarity model and validate cross-language comparability.,,core_general_table_registry_schema_v2
prompt_url_similarity,prompt_url_similarity,,canonical,,not_table_related,not_applicable,core_general,prompt_page_relevance,derived_primitive,Leakage-safe similarity between prompt and decoded URL tokens.,"predeclared lexical similarity(prompt, URL tokens)",prompt_and_url,prompt text and normalized URL,bounded_similarity,high,multilingual tokenization,Missing means prompt or URL tokens were unavailable.,general,high,safe_no_answer,surfaced-source selection; topic,URL slugs can be sparse or transliterated.,G2R_sensitivity,sensitivity_only,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Freeze tokenizer and similarity method without outcome tuning.,,core_general_table_registry_schema_v2
faq_schema_present,faq_schema_present,,canonical,,not_table_related,not_applicable,core_general,qa_and_schema,primitive,FAQPage structured data is present.,1[FAQPage in JSON-LD/microdata/RDFa],html_structured_data,schema.org payload,binary,low,raw HTML structured data,Missing means structured data was not captured.,general,high,safe_pre_outcome,CMS/plugin use; page type,Schema can be stale or invisible to users.,candidate_focal_or_sensitivity,refactor_needed,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Validate parsed schema types against raw HTML.,,core_general_table_registry_schema_v2
visible_qa_structure,visible_qa_structure,,canonical,,not_table_related,not_applicable,core_general,qa_and_schema,composite,Visible paired question and answer structure.,documented rule from question heading and following answer block,html_dom_or_markdown,ordered content blocks,binary,high,block order and language rules,Missing means structure was unavailable.,general,conditional,safe_pre_outcome,support/FAQ page function,Question phrases alone do not prove Q&A structure.,candidate_focal,refactor_needed,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Retain question and answer primitives and validate multilingual pairs.,,core_general_table_registry_schema_v2
has_table,has_table,,deprecated_alias,has_verified_html_table,registry_metadata,not_applicable,core_general,table_compatibility,primitive,Deprecated broad table-presence compatibility field.,legacy pipeline table presence rule,legacy_mixed,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",deprecated_alias,diagnostic_only,legacy_implemented,core_general_table_taxonomy_v1,not_started,false,not_applicable,deprecated alias; use has_verified_html_table,Map legacy values to has_any_verified_table only when provenance confirms equivalence.,Compatibility output only; may mix substantive and layout tables.,core_general_table_registry_schema_v2
table_has_comparison,table_has_comparison,table_contains_comparison,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_content,primitive,Table compares alternatives or attributes across multiple entities.,1[validated comparison structure passes],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_then_candidate,core_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate commercial and non-commercial comparisons.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_has_directory_or_listing_structure,table_has_directory_or_listing_structure,,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_content,primitive,Table organizes multiple entities as a directory or listing.,1[repeated entity-row/listing structure passes],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_then_candidate,core_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Distinguish substantive listings from navigation menus.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_has_layout_or_navigation_structure,table_has_layout_or_navigation_structure,table_is_layout_or_navigation,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_content,primitive,Table is used primarily for page layout or navigation.,1[layout/navigation classifier passes],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_exclusion,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Prioritize precision because errors contaminate has_any_data_table.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_has_measurements,table_has_measurements,,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_content,primitive,Table contains general measurement classes.,1[general unit registry match in factual cell],table_level_extraction,table cells and versioned general unit registry,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_then_candidate,core_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,"Validate length, mass, volume, duration, temperature, percentage, speed, storage, energy, and concentration units.",Store unit-match provenance; vertical unit matches do not automatically activate this field.,core_general_table_registry_schema_v2
table_has_numeric_facts,table_has_numeric_facts,table_contains_numeric_facts,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_content,primitive,Table contains numeric factual values beyond navigation identifiers.,1[validated numeric-fact cells present],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_then_candidate,core_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,"Validate identifiers, years, percentages, and locale formats.",Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_has_schedule_or_timeline,table_has_schedule_or_timeline,,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_content,primitive,"Table organizes dates, times, stages, or milestones.",1[validated schedule/timeline structure passes],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_then_candidate,core_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate date/time formats in Thai and English.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_has_specifications,table_has_specifications,,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_content,primitive,"Table presents labeled attributes or specifications using general, non-vertical constructs.",1[attribute-value/specification structure passes],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_then_candidate,core_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate across industries and ensure vertical-only units do not activate it.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_has_textual_facts,table_has_textual_facts,,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_content,primitive,Table contains substantive textual factual cells.,1[non-navigation factual text pattern passes],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_then_candidate,core_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate across page functions and languages.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_has_transactional_structure,table_has_transactional_structure,,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_content,primitive,Table contains form-like or transaction-action structure.,1[validated input/action/transaction cells present],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Distinguish forms and account controls from factual tables.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
has_verified_html_table,has_verified_html_table,has_any_verified_table|has_table,canonical,,page_level,max verified HTML presence over measured tables,core_general,table_detection,primitive,1 when at least one HTML <table> is successfully detected and verified on the page.,1[verified HTML table present]; 0[HTML measured and verified absent]; NA[HTML extraction unavailable],html_dom,preserved HTML DOM,nullable_binary,low,provenance-aware table extraction,1 = verified present; 0 = verified absent; NA = unmeasured extraction.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",temporary_baseline_if_semantic_classification_unvalidated,core_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Measure HTML detection precision and recall where a labeled sample permits.,Broad HTML presence can include layout tables; it is not equivalent to has_any_data_table.,core_general_table_registry_schema_v2
inferred_text_table_detected,inferred_text_table_detected,,canonical,,extraction_diagnostic,not_applicable,core_general,table_detection,primitive,Table-like structure inferred only from flattened text.,1[predeclared text-row/column pattern passes],flattened_text,preserved HTML/Markdown table evidence,nullable_binary,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Estimate false-positive rate against HTML/Markdown ground truth.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
markdown_table_detected,markdown_table_detected,,canonical,,extraction_diagnostic,not_applicable,core_general,table_detection,primitive,At least one valid Markdown table is inferred present.,1[valid Markdown table present]; 0[Markdown evidence measured and verified absent]; NA[Markdown evidence unmeasured],scraped_markdown,Markdown preserving table syntax,nullable_binary,low,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_sensitivity,diagnostic_only,implemented_partial,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Compare Markdown inference with verified HTML where both exist.,Never treat Markdown-inferred presence as identical to HTML verification without an explicit sensitivity comparison.,core_general_table_registry_schema_v2
table_detection_source,table_detection_source,,canonical,,extraction_diagnostic,not_applicable,core_general,table_detection,categorical_provenance,Evidence source used to detect each table/page table state.,enum from extraction evidence,extraction_provenance,preserved HTML/Markdown table evidence,categorical,low,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_provenance,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Confirm every detected table has exactly one or an explicit multiple source.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_measurement_unit_registry,table_measurement_unit_registry,,canonical,,table_level,retain per-table provenance; page summary uses set of observed registries,core_general,table_detection,categorical_provenance,Registry that produced table unit matches.,enum general_unit_registry|commerce_unit_registry|vertical_unit_registry|multiple|none|unmeasured,unit_match_provenance,preserved HTML/Markdown table evidence,categorical,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_provenance,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Confirm vertical matches remain isolated from Core-General specification rules.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_verification_status,table_verification_status,,canonical,,extraction_diagnostic,not_applicable,core_general,table_detection,categorical_provenance,"Verified, inferred, absent, or unmeasured table state.",deterministic evidence-state rule,extraction_provenance,preserved HTML/Markdown table evidence,categorical,low,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_and_sample_definition,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Audit verified_absent versus unmeasured semantics with no unexplained row loss.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_has_column_labels,table_has_column_labels,,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_labels,primitive,Table contains labels identifying column meaning.,1[validated column-label structure present],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate header rows and colspan labels.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_has_header_labels,table_has_header_labels,,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_labels,primitive,Table contains explicit header labels.,1[TH or validated header row present],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate semantic and inferred headers.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
table_has_row_labels,table_has_row_labels,,canonical,,table_level,max over measured tables; count tables satisfying condition,core_general,table_labels,primitive,Table contains labels identifying row meaning.,1[validated row-label structure present],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate first-column labels and multi-level headers.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
comparison_table_count,comparison_table_count,,canonical,,page_level,deterministic page aggregate from table_has_comparison,core_general,table_page_aggregate,derived_primitive,Count of measured tables with comparison structure.,count measured tables where table_has_comparison = 1,provenance_aware_table_extraction,measured table-level records,nullable_binary_or_count,medium,table extractor with verified measured/unmeasured state,NA means extraction evidence was unavailable; zero requires measured absence.,general,high,safe_pre_outcome,domain; template; page function; publisher type; extraction quality,"Responsive duplication, nested tables, spans, rendering, and missing extraction evidence.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,extraction and aggregation QA not yet passed,"Validate extraction, aggregation, support, missingness, and redundancy before model entry.",Observed structure among surfaced sources; not a causal table effect.,core_general_table_registry_schema_v2
directory_or_listing_table_count,directory_or_listing_table_count,,canonical,,page_level,deterministic page aggregate from table_has_directory_or_listing_structure,core_general,table_page_aggregate,derived_primitive,Count of directory/listing tables.,count measured tables where table_has_directory_or_listing_structure = 1,provenance_aware_table_extraction,measured table-level records,nullable_binary_or_count,medium,table extractor with verified measured/unmeasured state,NA means extraction evidence was unavailable; zero requires measured absence.,general,high,safe_pre_outcome,domain; template; page function; publisher type; extraction quality,"Responsive duplication, nested tables, spans, rendering, and missing extraction evidence.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,extraction and aggregation QA not yet passed,"Validate extraction, aggregation, support, missingness, and redundancy before model entry.",Observed structure among surfaced sources; not a causal table effect.,core_general_table_registry_schema_v2
distinct_table_type_count,distinct_table_type_count,,canonical,,page_level,nunique(table_type_primary excluding unknown where measured),core_general,table_page_aggregate,derived_primitive,Distinct qualifying primary table types on a page.,nunique(table_type_primary excluding unknown where measured),table_level_extraction,preserved HTML/Markdown table evidence,nullable_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate unknown handling and multi-table aggregation.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
dominant_table_type,dominant_table_type,,canonical,,page_level,type with strictly greater count than runner-up; otherwise mixed_or_unknown,core_general,table_page_aggregate,derived_categorical,Unique most frequent qualifying table type on a page.,type with strictly greater count than runner-up; otherwise mixed_or_unknown,table_level_extraction,preserved HTML/Markdown table evidence,categorical,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",extended_table_model_after_QA,sensitivity_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate deterministic tie/abstention rule and sparse category support.,Derived without citation outcomes; layout-only pages remain layout_or_navigation.,core_general_table_registry_schema_v2
dominant_table_type_collapsed,dominant_table_type_collapsed,,canonical,,page_level,predeclared support-only collapse of dominant_table_type; mixed/unknown explicit,core_general,table_page_aggregate,derived_categorical,Support-collapsed dominant table type for later sensitivity models.,predeclared support-only collapse of dominant_table_type; mixed/unknown explicit,table_level_extraction,preserved HTML/Markdown table evidence,categorical,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",extended_table_model_after_QA,sensitivity_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Human-approve support thresholds before outcomes.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
factual_or_specification_table_count,factual_or_specification_table_count,,canonical,,page_level,count(table_type_primary == factual_or_specification),core_general,table_page_aggregate,derived_primitive,Page count of factual_or_specification tables.,count(table_type_primary == factual_or_specification),table_level_extraction,preserved HTML/Markdown table evidence,nullable_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",diagnostic_or_feature_group,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Pass type-classification and multi-table aggregation QA.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
has_any_comparison_table,has_any_comparison_table,,canonical,,page_level,deterministic page aggregate from table_has_comparison,core_general,table_page_aggregate,derived_primitive,Page has at least one measured comparison table.,1[max(table_has_comparison) = 1]; 0 only when measured and absent; otherwise NA,provenance_aware_table_extraction,measured table-level records,nullable_binary_or_count,medium,table extractor with verified measured/unmeasured state,NA means extraction evidence was unavailable; zero requires measured absence.,general,high,safe_pre_outcome,domain; template; page function; publisher type; extraction quality,"Responsive duplication, nested tables, spans, rendering, and missing extraction evidence.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,extraction and aggregation QA not yet passed,"Validate extraction, aggregation, support, missingness, and redundancy before model entry.",Observed structure among surfaced sources; not a causal table effect.,core_general_table_registry_schema_v2
has_any_data_table,has_any_data_table,,canonical,,page_level,max over measured non-layout table classifications,core_general,table_page_aggregate,derived_primitive,1 when at least one measured table is not classified solely as layout/navigation.,1[data_table_count > 0]; 0 when measured tables are layout-only or verified absent; NA when extraction unavailable,table_level_extraction,preserved HTML/Markdown table evidence,nullable_binary,medium,provenance-aware table extraction,Layout-only page = 0; verified no-table page = 0; extraction unavailable = NA.,general,high,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",preferred_baseline_after_QA,core_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Pass layout-versus-data precision and multi-table aggregation gates.,Table structure among surfaced sources; not a causal effect of adding a table.,core_general_table_registry_schema_v2
has_any_directory_or_listing_table,has_any_directory_or_listing_table,,canonical,,page_level,deterministic page aggregate from table_has_directory_or_listing_structure,core_general,table_page_aggregate,derived_primitive,Page has at least one directory/listing table.,1[max(table_has_directory_or_listing_structure) = 1]; 0 only when measured and absent; otherwise NA,provenance_aware_table_extraction,measured table-level records,nullable_binary_or_count,medium,table extractor with verified measured/unmeasured state,NA means extraction evidence was unavailable; zero requires measured absence.,general,high,safe_pre_outcome,domain; template; page function; publisher type; extraction quality,"Responsive duplication, nested tables, spans, rendering, and missing extraction evidence.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,extraction and aggregation QA not yet passed,"Validate extraction, aggregation, support, missingness, and redundancy before model entry.",Observed structure among surfaced sources; not a causal table effect.,core_general_table_registry_schema_v2
has_any_layout_table,has_any_layout_table,,canonical,,page_level,deterministic page aggregate from table_has_layout_or_navigation_structure,core_general,table_page_aggregate,derived_primitive,Page has at least one layout/navigation table.,1[max(table_has_layout_or_navigation_structure) = 1]; 0 only when measured and absent; otherwise NA,provenance_aware_table_extraction,measured table-level records,nullable_binary_or_count,medium,table extractor with verified measured/unmeasured state,NA means extraction evidence was unavailable; zero requires measured absence.,general,high,safe_pre_outcome,domain; template; page function; publisher type; extraction quality,"Responsive duplication, nested tables, spans, rendering, and missing extraction evidence.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,extraction and aggregation QA not yet passed,"Validate extraction, aggregation, support, missingness, and redundancy before model entry.",Observed structure among surfaced sources; not a causal table effect.,core_general_table_registry_schema_v2
has_any_schedule_or_timeline_table,has_any_schedule_or_timeline_table,,canonical,,page_level,deterministic page aggregate from table_has_schedule_or_timeline,core_general,table_page_aggregate,derived_primitive,Page has at least one schedule/timeline table.,1[max(table_has_schedule_or_timeline) = 1]; 0 only when measured and absent; otherwise NA,provenance_aware_table_extraction,measured table-level records,nullable_binary_or_count,medium,table extractor with verified measured/unmeasured state,NA means extraction evidence was unavailable; zero requires measured absence.,general,high,safe_pre_outcome,domain; template; page function; publisher type; extraction quality,"Responsive duplication, nested tables, spans, rendering, and missing extraction evidence.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,extraction and aggregation QA not yet passed,"Validate extraction, aggregation, support, missingness, and redundancy before model entry.",Observed structure among surfaced sources; not a causal table effect.,core_general_table_registry_schema_v2
has_any_table_with_measurements,has_any_table_with_measurements,,canonical,,page_level,deterministic page aggregate from table_has_measurements,core_general,table_page_aggregate,derived_primitive,Page has at least one measured table with general measurements.,1[max(table_has_measurements) = 1]; 0 only when measured and absent; otherwise NA,provenance_aware_table_extraction,measured table-level records,nullable_binary_or_count,medium,table extractor with verified measured/unmeasured state,NA means extraction evidence was unavailable; zero requires measured absence.,general,high,safe_pre_outcome,domain; template; page function; publisher type; extraction quality,"Responsive duplication, nested tables, spans, rendering, and missing extraction evidence.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,extraction and aggregation QA not yet passed,"Validate extraction, aggregation, support, missingness, and redundancy before model entry.",Observed structure among surfaced sources; not a causal table effect.,core_general_table_registry_schema_v2
has_any_table_with_numeric_facts,has_any_table_with_numeric_facts,,canonical,,page_level,deterministic page aggregate from table_has_numeric_facts,core_general,table_page_aggregate,derived_primitive,Page has at least one measured table with numeric facts.,1[max(table_has_numeric_facts) = 1]; 0 only when measured and absent; otherwise NA,provenance_aware_table_extraction,measured table-level records,nullable_binary_or_count,medium,table extractor with verified measured/unmeasured state,NA means extraction evidence was unavailable; zero requires measured absence.,general,high,safe_pre_outcome,domain; template; page function; publisher type; extraction quality,"Responsive duplication, nested tables, spans, rendering, and missing extraction evidence.",diagnostic_only,diagnostic_only,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,extraction and aggregation QA not yet passed,"Validate extraction, aggregation, support, missingness, and redundancy before model entry.",Observed structure among surfaced sources; not a causal table effect.,core_general_table_registry_schema_v2
