feature_name,feature_family,subfamily,feature_type,granularity,source_input,transformation,interpretation,generality_scope,proposed_model_role,current_qa_status,approved_for_model_v1,model_entry_blocker,leakage_status,version
internal_link_count,Core-General,link_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of internal link observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
internal_link_ratio,Core-General,link_structure,continuous,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),resolved hrefs,Internal links divided by all links Model interpretation: continuous,requires review,Core-General diagnostic/candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
link_count,Core-General,link_structure,continuous count,source_appearance | url,Input C: scraper/page evidence (current_lpm),continuous count,Extracted links Model interpretation: Use for distributions and nonlinear diagnostics,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,modeled_current_lpm,False,redesigned model-entry QA and human approval required,legacy_risk_low_or_controlled,current_lpm_legacy
link_count_group,Core-General,link_structure,categorical,source_appearance,Input C: scraper/page evidence (current_lpm),categorical,"0-3, 4-8, 9+ extracted links Model interpretation: Each coefficient is relative to the selected reference group",cross-topic,Core-General candidate; requires QA and human approval,modeled_current_lpm,False,redesigned model-entry QA and human approval required,legacy_risk_low_or_controlled,current_lpm_legacy
link_count_top_1pct,Core-General,link_structure,binary,source_appearance,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing link count top 1pct. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing link count top 1pct. See source-layer and caveat columns before model use.,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
link_count_total,Core-General,link_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Pipeline field representing link count total. See source-layer and caveat columns before model use. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
link_density_per_1000_words,Core-General,link_structure,continuous,source_appearance,Input C: scraper/page evidence (current_lpm),continuous,"Links relative to page length Model interpretation: Association for one additional link per 1,000 words",cross-topic,Core-General candidate; requires QA and human approval,modeled_current_lpm,False,redesigned model-entry QA and human approval required,legacy_risk_low_or_controlled,current_lpm_legacy
low_link_count,Core-General,link_structure,binary,source_appearance,Input C: scraper/page evidence (current_lpm),binary,1 when extracted link_count is below 9 Model interpretation: Optional binary sensitivity contrast for the highly imbalanced three-level link group,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,modeled_current_lpm,False,redesigned model-entry QA and human approval required,legacy_risk_low_or_controlled,current_lpm_legacy
nofollow_link_count,Core-General,link_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of nofollow link observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
outbound_link_count,Core-General,link_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of outbound link observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
bullet_list_count,Core-General,list_structure,count_or_binary,not_table_related,Input C: scraper/page evidence (list nodes),count_or_binary,Count of content bullet lists.,general,Core-General candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
has_list_structure,Core-General,list_structure,binary,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM or availability.,Binary indicator that the extracted page has list structure. Model interpretation: candidate_or_availability_control,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
max_list_depth,Core-General,list_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Pipeline field representing max list depth. See source-layer and caveat columns before model use. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
numbered_list_count,Core-General,list_structure,count_or_binary,not_table_related,Input C: scraper/page evidence (list nodes),count_or_binary,Count of content ordered lists.,general,Core-General candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
ordered_list_count,Core-General,list_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of ordered list observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
unordered_list_count,Core-General,list_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of unordered list observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
list_item_count,Core-General,list_structure | structure,numeric | count,source_appearance | url,Input C: scraper/page evidence (document_structure | proposed_writing),Extracted from HTML/DOM. | HTML/markdown structure,list item count | Bulleted and numbered list items Model interpretation: candidate_after_eda | binary plus log2 count,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,legacy_risk_low | requires_validation,master_inventory_2026_07_18
published_or_updated_age,Core-General,metadata_and_freshness,continuous,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),structured data/page metadata,Page age at audit date Model interpretation: spline or bins,requires review,Core-General diagnostic/candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
measurement_count,Core-General,numeric_detail,count_or_density,not_table_related,Input C: scraper/page evidence (page text and general unit registry),count_or_density,Count of number-plus-unit measurements using a general unit registry.,general,Core-General candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
number_token_count,Core-General,numeric_detail,count,not_table_related,Input C: scraper/page evidence (page text),count,Count of numeric tokens in measurable content. Model interpretation: priority_screening_candidate,general,Core-General diagnostic/candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
number_token_density,Core-General,numeric_detail,density_per_1000_words,not_table_related,Input C: scraper/page evidence (number_token_count and word_count),density_per_1000_words,Numeric tokens normalized by measurable words.,general,Core-General candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
percentage_count,Core-General,numeric_detail,count_or_density,not_table_related,Input C: scraper/page evidence (page text),count_or_density,Count of percentage expressions.,general,Core-General candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
range_pattern_count,Core-General,numeric_detail,count_or_density,not_table_related,Input C: scraper/page evidence (page text),count_or_density,Count of explicit numeric ranges.,general,Core-General candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
year_count,Core-General,numeric_detail,count_or_binary,not_table_related,Input C: scraper/page evidence (page text),count_or_binary,Count of plausible year expressions.,general,Core-General candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
opening_summary_signal,Core-General,opening_structure,binary_or_score,not_table_related,Input C: scraper/page evidence (opening content blocks),binary_or_score,Opening content provides a summary or direct orientation.,general,Core-General diagnostic/candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
log2_content_chars_plus1,Core-General,page_length,log2,not_table_related,Input C: scraper/page evidence (content_chars),log2,Alternative character-length measure. Model interpretation: Log2 transformation of content chars plus one; approximately interpretable by doubling.,general,Core-General diagnostic/candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
log2_word_count_plus1,Core-General,page_length,log2,not_table_related,Input C: scraper/page evidence (word_count),log2,Primary page-length measure. Model interpretation: Coefficient is the percentage-point association for approximately doubling word count,general,Core-General candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
has_paragraph_structure,Core-General,paragraph_and_sentence_structure,binary,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM or availability.,Binary indicator that the extracted page has paragraph structure. Model interpretation: candidate_or_availability_control,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
long_paragraph_share,Core-General,paragraph_and_sentence_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,"Rate, share, or ratio measuring long paragraph share. Model interpretation: candidate_after_eda",cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
median_paragraph_words,Core-General,paragraph_and_sentence_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Pipeline field representing median paragraph words. See source-layer and caveat columns before model use. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
p90_paragraph_words,Core-General,paragraph_and_sentence_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Pipeline field representing p90 paragraph words. See source-layer and caveat columns before model use. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
short_paragraph_share,Core-General,paragraph_and_sentence_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,"Rate, share, or ratio measuring short paragraph share. Model interpretation: candidate_after_eda",cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
faq_schema_present,Core-General,qa_and_schema,binary,not_table_related,Input C: scraper/page evidence (schema.org payload),binary,FAQPage structured data is present.,general,Core-General candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
visible_qa_structure,Core-General,qa_and_schema,binary,not_table_related,Input C: scraper/page evidence (ordered content blocks),binary,Visible paired question and answer structure.,general,Core-General candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
faq_schema_question_count,Core-General,schema_and_metadata,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of faq schema question observed in the relevant extracted page representation. Model interpretation: sensitivity,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
has_article_schema,Core-General,schema_and_metadata,binary,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM or availability.,Binary indicator that the extracted page has article schema. Model interpretation: candidate_or_availability_control,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
has_breadcrumb_schema,Core-General,schema_and_metadata,binary,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM or availability.,Binary indicator that the extracted page has breadcrumb schema. Model interpretation: candidate_or_availability_control,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
has_faqpage_schema,Core-General,schema_and_metadata,binary,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM or availability.,Binary indicator that the extracted page has faqpage schema. Model interpretation: candidate_or_availability_control,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
has_jsonld,Core-General,schema_and_metadata,binary,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM or availability.,Binary indicator that the extracted page has jsonld. Model interpretation: candidate_or_availability_control,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
has_localbusiness_schema,Core-General,schema_and_metadata,binary,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM or availability.,Binary indicator that the extracted page has localbusiness schema. Model interpretation: candidate_or_availability_control,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
has_organization_schema,Core-General,schema_and_metadata,binary,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM or availability.,Binary indicator that the extracted page has organization schema. Model interpretation: candidate_or_availability_control,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
has_product_schema,Core-General,schema_and_metadata,binary,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM or availability.,Binary indicator that the extracted page has product schema. Model interpretation: candidate_or_availability_control,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
jsonld_block_count,Core-General,schema_and_metadata,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of jsonld block observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
jsonld_parsed_block_count,Core-General,schema_and_metadata,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of jsonld parsed block observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
schema_type_count,Core-General,schema_and_metadata,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of schema type observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
schema_types,Core-General,schema_and_metadata,text_or_provenance,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Semicolon-separated JSON-LD @type values; diagnostic text field. Model interpretation: diagnostic_only,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
structured_data_types,Core-General,schema_and_metadata,categorical_or_text,url,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing structured data types. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing structured data types. See source-layer and caveat columns before model use.,requires review,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
heading_density,Core-General,structure,continuous,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),headings and text,"Headings per 1,000 words Model interpretation: continuous plus nonlinear check",cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
list_item_density,Core-General,structure,continuous,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),HTML/markdown structure,"List items per 1,000 words Model interpretation: continuous",cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
table_has_comparison,Core-General,table_content,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,Table compares alternatives or attributes across multiple entities.,general,Core-General candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_directory_or_listing_structure,Core-General,table_content,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,Table organizes multiple entities as a directory or listing.,general,Core-General candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_layout_or_navigation_structure,Core-General,table_content,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,Table is used primarily for page layout or navigation.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_measurements,Core-General,table_content,binary_or_count,table_level,Input C: scraper/page evidence (table cells and versioned general unit registry),binary_or_count,Table contains general measurement classes.,general,Core-General candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_numeric_facts,Core-General,table_content,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,Table contains numeric factual values beyond navigation identifiers.,general,Core-General candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_schedule_or_timeline,Core-General,table_content,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,"Table organizes dates, times, stages, or milestones.",general,Core-General candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_specifications,Core-General,table_content,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,"Table presents labeled attributes or specifications using general, non-vertical constructs.",general,Core-General candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_textual_facts,Core-General,table_content,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,Table contains substantive textual factual cells.,general,Core-General candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_verified_html_table,Core-General,table_detection,nullable_binary,page_level,Input C: scraper/page evidence (preserved HTML DOM),nullable_binary,1 when at least one HTML <table> is successfully detected and verified on the page.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
inferred_text_table_detected,Core-General,table_detection,nullable_binary,extraction_diagnostic,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),nullable_binary,Table-like structure inferred only from flattened text.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
markdown_table_detected,Core-General,table_detection,nullable_binary,extraction_diagnostic,Input C: scraper/page evidence (Markdown preserving table syntax),nullable_binary,At least one valid Markdown table is inferred present.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_detection_source,Core-General,table_detection,categorical,extraction_diagnostic,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),categorical,Evidence source used to detect each table/page table state.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_measurement_unit_registry,Core-General,table_detection,categorical,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),categorical,Registry that produced table unit matches.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_verification_status,Core-General,table_detection,categorical,extraction_diagnostic,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),categorical,"Verified, inferred, absent, or unmeasured table state.",general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_column_labels,Core-General,table_labels,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,Table contains labels identifying column meaning.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_header_labels,Core-General,table_labels,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,Table contains explicit header labels.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_row_labels,Core-General,table_labels,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,Table contains labels identifying row meaning.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
comparison_table_count,Core-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Count of measured tables with comparison structure.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
directory_or_listing_table_count,Core-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Count of directory/listing tables.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
distinct_table_type_count,Core-General,table_page_aggregate,nullable_count,page_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),nullable_count,Distinct qualifying primary table types on a page.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
dominant_table_type,Core-General,table_page_aggregate,categorical,page_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),categorical,Unique most frequent qualifying table type on a page.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
dominant_table_type_collapsed,Core-General,table_page_aggregate,categorical,page_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),categorical,Support-collapsed dominant table type for later sensitivity models.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
factual_or_specification_table_count,Core-General,table_page_aggregate,nullable_count,page_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),nullable_count,Page count of factual_or_specification tables.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_any_comparison_table,Core-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Page has at least one measured comparison table.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_any_data_table,Core-General,table_page_aggregate,nullable_binary,page_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),nullable_binary,1 when at least one measured table is not classified solely as layout/navigation.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_any_directory_or_listing_table,Core-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Page has at least one directory/listing table.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_any_layout_table,Core-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Page has at least one layout/navigation table.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_any_schedule_or_timeline_table,Core-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Page has at least one schedule/timeline table.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_any_table_with_measurements,Core-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Page has at least one measured table with general measurements.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_any_table_with_numeric_facts,Core-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Page has at least one measured table with numeric facts.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_any_table_with_specifications,Core-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Page has at least one measured specification table.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_any_table_with_textual_facts,Core-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Page has at least one measured table with textual facts.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_multiple_table_types,Core-General,table_page_aggregate,nullable_binary,page_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),nullable_binary,Page has at least two distinct non-unknown table types.,general,Core-General diagnostic/candidate; requires QA and human approval,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
